hospital_id,Hospital_address,physician_id,Speciality,INSURANCE_provider_name,insurance_provider_id,good_bad_data
HSID00128065,"7890 Maple St, Fourtown, USA",PHY05114,neurologist,UnitedHealthcare,PID5192,bad
HSID00128066,"456 Elm St, Othertown, USA",PHY05115,cardiologist,Medicare,PID5132,bad
HSID00128067,"4567 Maple St, Miami, FL 33101",PHY05116,endocrinologist,Aetna,PID5112,bad
HSID00128068,"456 Elm St, Othertown, USA",PHY05117,neurologist,Cigna,PID5122,bad
HSID00128069,"5678 Maple Ave, Anytown, USA",PHY05118,endocrinologist,Cigna,PID5122,bad
HSID00128070,"4567 Oak Ave, Los Angeles, CA 90012",PHY05119,neurologist,Bluecross,PID5142,bad
HSID00128071,"3210 Pine St, Boston, MA 02108",PHY05120,oncologist,Aetna,PID5112,bad
HSID00128072,"5678 Elm St, Denver, CO 80202",PHY05121,cardiologist,Cigna,PID5122,bad
HSID00128073,"1357 Main St, New York, NY",PHY05122,oncologist,Bluecross,PID5142,bad
HSID00128074,"321 Elm St, San Francisco CA 94109",PHY05123,cardiologist,Bluecross,PID5142,bad
HSID00128075,"7890 Pine St, New York, NY 10001",PHY05124,cardiologist,Unitedhealthcare,PID5192,bad
HSID00128076,"1234 Maple St, Los Angeles, CA 90001",PHY05125,uralogist,Cigna,PID5122,bad
HSID00128077,"246 Pine St, Seattle, WA 98101",PHY05126,endocrinologist,BlueCross BlueShield,PID5142,bad
HSID00128078,"789 Elm St, Newtown USA",PHY05127,oncologist,Bluecross,PID5142,bad
HSID00128079,"1234 Elm St, Atlanta, GA 30303",PHY05128,neurologist,Bluecross,PID5142,bad
HSID00128080,"321 Pine St, Otherville USA",PHY05129,oncologist,Bluecross,PID5142,bad
HSID00128081,"456 Elm St, Othertown, USA",PHY05130,cardiologist,Bluecross,PID5142,bad
HSID00128082,"456 Elm St, Los Angeles, CA 90001",PHY05131,oncologist,Medicare,PID5132,bad
HSID00128083,"7890 Maple St, Fourtown, USA",PHY05132,neurologist,UnitedHealthcare,PID5192,bad
HSID00128084,"1234 Elm St, Los Angeles, CA 90001",PHY05133,uralogist,Aetna,PID5112,bad
HSID00128085,"246 Birch St, Houston, TX 77002, USA",PHY05134,oncologist,Cigna,PID5122,bad
HSID00128086,"1234 Elm St, Minneapolis, MN 55405",PHY05135,uralogist,Cigna,PID5122,bad
HSID00128087,"222 Pine St, Anytown, USA",PHY05136,oncologist,Unitedhealthcare,PID5192,bad
HSID00128088,"123 Main St, Anytown, USA",PHY05137,cardiologist,Cigna,PID5122,bad
HSID00128089,"3456 Pine St, Anytown, USA",PHY05138,endocrinologist,Bluecross,PID5142,bad
HSID00128090,"1234 Oak Ave, San Diego CA 92109",PHY05139,endocrinologist,Bluecross,PID5142,bad
HSID00128091,"7890 Pine St, New York, NY 10001",PHY05140,oncologist,Cigna,PID5122,bad
HSID00128092,"7890 Maple St, Fourtown, USA",PHY05141,cardiologist,Medicare,PID5132,bad
HSID00128093,"456 Maple St, Los Angeles CA 90001",PHY05142,neurologist,Bluecross,PID5142,bad
HSID00128094,"1234 Elm St, Minneapolis, MN 55405",PHY05143,oncologist,Medicare,PID5132,bad
HSID00128095,"789 Oak St, Newtown, USA",PHY05144,uralogist,Aetna,PID5112,bad
HSID00128096,"1234 Oak St, Chicago IL 60601",PHY05145,neurologist,Medicare,PID5132,bad
HSID00128097,"7654 Cedar Rd, Denver, CO 80206",PHY05146,uralogist,Bluecross,PID5142,bad
HSID00128098,"5678 Elm St, Denver, CO 80202",PHY05147,neurologist,Cigna,PID5122,bad
HSID00128099,"123 Main St, Anytown USA 12345",PHY05148,oncologist,Bluecross,PID5142,bad
HSID00128100,"9012 Oak Rd, Anytown, USA",PHY05149,oncologist,Cigna,PID5122,bad
HSID00128101,"456 Elm St, Othertown, USA",PHY05150,oncologist,Bluecross,PID5142,bad
HSID00128102,"1234 Elm St, Los Angeles, CA 90001",PHY05151,neurologist,Bluecross,PID5142,bad
HSID00128103,"101 Maple Ave, Anytown USA 45678",PHY05152,endocrinologist,Bluecross,PID5142,bad
HSID00128104,"3210 Pine St, Boston, MA 02108",PHY05153,cardiologist,Bluecross,PID5142,bad
HSID00128105,"5678 Pine St, New York, NY 10001",PHY05154,neurologist,Unitedhealthcare,PID5192,bad
HSID00128106,"789 Oak St, Anytown, USA",PHY05155,neurologist,Bluecross,PID5142,bad
HSID00128107,"246 Birch St, Houston, TX 77002, USA",PHY05156,endocrinologist,Cigna,PID5122,bad
HSID00128108,"1357 Elm St, Seattle WA 98101",PHY05157,neurologist,Cigna,PID5122,bad
HSID00128109,"456 Oak St, Otherville USA",PHY05158,endocrinologist,Cigna,PID5122,bad
HSID00128110,"4567 Maple St, Miami, FL 33101",PHY05159,neurologist,Cigna,PID5122,bad
HSID00128111,"789 Maple St, New York, NY 10001, USA",PHY05160,uralogist,Unitedhealthcare,PID5192,bad
HSID00128112,"4567 Oak Ave, San Francisco, CA 94110",PHY05161,neurologist,Unitedhealthcare,PID5192,bad
HSID00128113,"4567 Cedar Ln, Anytown, USA",PHY05162,neurologist,Cigna,PID5122,bad
HSID00128114,"5678 Oak St, Los Angeles, CA 90001",PHY05163,cardiologist,Cigna,PID5122,bad
HSID00128115,"1234 Oak St, Chicago IL 60601",PHY05164,uralogist,Cigna,PID5122,bad
HSID00128116,"9012 Oak Rd, Anytown, USA",PHY05165,oncologist,Cigna,PID5122,bad
HSID00128117,"246 Walnut St, Chicago, IL 60601",PHY05166,uralogist,Cigna,PID5122,bad
HSID00128118,"3456 Oak St, Threetown, USA",PHY05167,cardiologist,Cigna,PID5122,bad
HSID00128119,"123 Main St, Anytown USA",PHY05168,neurologist,Medicare,PID5132,bad
HSID00128120,"3456 Oak Ave, Los Angeles, CA 90012",PHY05169,cardiologist,Bluecross,PID5142,bad
HSID00128121,"7890 Pine St, New York, NY 10001",PHY05170,endocrinologist,Bluecross,PID5142,bad
HSID00128122,"5678 Maple Ave, Chicago, IL",PHY05171,neurologist,Medicare,PID5132,bad
HSID00128123,"9012 Oak St, Anytown, USA",PHY05172,neurologist,Medicare,PID5132,bad
HSID00128124,"1012 Pine St, Chicago, IL 60601",PHY05173,endocrinologist,Aetna,PID5112,bad
HSID00128125,"5678 Pine St, Fivetown, USA",PHY05174,uralogist,Bluecross,PID5142,bad
HSID00128126,"789 Pine St, Anytown USA 34567",PHY05175,cardiologist,Bluecross,PID5142,bad
HSID00128127,"101 Maple St, Anytown, USA",PHY05176,uralogist,Cigna,PID5122,bad
HSID00128128,"246 Walnut St, Chicago, IL 60601",PHY05177,oncologist,Unitedhealthcare,PID5192,bad
HSID00128129,"3210 Cedar St, Houston, TX 77006",PHY05178,cardiologist,Cigna,PID5122,bad
HSID00128130,"7654 Cedar Rd, Denver, CO 80206",PHY05179,oncologist,Bluecross,PID5142,bad
HSID00128131,"5678 Pine St, New York, NY 10001",PHY05180,uralogist,Medicare,PID5132,bad
HSID00128132,"222 Pine St, Anytown, USA",PHY05181,uralogist,Cigna,PID5122,bad
HSID00128133,"4567 Oak Ave, Los Angeles, CA 90012",PHY05182,neurologist,Bluecross,PID5142,bad
HSID00128134,"789 Elm St, Newtown USA",PHY05183,cardiologist,Bluecross,PID5142,bad
HSID00128135,"1234 Oak St, Chicago IL 60601",PHY05184,endocrinologist,Bluecross,PID5142,bad
HSID00128136,"101 Maple St, Anytown, USA",PHY05185,cardiologist,Cigna,PID5122,bad
HSID00128137,"321 Elm St, San Francisco CA 94109",PHY05186,neurologist,Bluecross,PID5142,bad
HSID00128138,"5678 Pine St, New York, NY 10001",PHY05187,neurologist,Cigna,PID5122,bad
HSID00128139,"1234 Maple St, Anytown, USA",PHY05188,uralogist,Bluecross,PID5142,bad
HSID00128140,"5678 Maple Ave, Chicago, IL",PHY05189,cardiologist,UnitedHealthcare,PID5192,bad
HSID00128141,"456 Oak St, Miami, FL 33101",PHY05190,endocrinologist,Bluecross,PID5142,bad
HSID00128142,"9012 Oak St, Chicago, IL 60601",PHY05191,endocrinologist,Medicare,PID5132,bad
HSID00128143,"1234 Elm St, Minneapolis, MN 55405",PHY05192,uralogist,BlueCross BlueShield,PID5142,bad
HSID00128144,"456 Elm St, Anytown, USA",PHY05193,endocrinologist,Cigna,PID5122,bad
HSID00128145,"7890 Maple St, Fourtown, USA",PHY05194,oncologist,Medicare,PID5132,bad
HSID00128146,"135 Maple St, Boston, MA 02108",PHY05195,uralogist,Bluecross,PID5142,bad
HSID00128147,"123 Main St, New York, NY 10001",PHY05196,cardiologist,Cigna,PID5122,bad
HSID00128148,"3456 Maple St, Chicago, IL 60601",PHY05197,oncologist,Cigna,PID5122,bad
HSID00128149,"5678 Oak Ave, New York, NY 10001",PHY05198,uralogist,UnitedHealthcare,PID5192,bad
HSID00128150,"456 Pine St, New York, NY 10012",PHY05199,neurologist,Bluecross,PID5142,bad
HSID00128151,"101 Maple St, Anytown, USA",PHY05200,oncologist,Bluecross,PID5142,bad
HSID00128152,"456 Elm St, Anytown, USA",PHY05201,oncologist,Medicare,PID5132,bad
HSID00128153,"789 Oak St, Anytown, USA",PHY05202,oncologist,Cigna,PID5122,bad
HSID00128154,"456 Maple St, Los Angeles CA 90001",PHY05203,cardiologist,Aetna,PID5112,bad
HSID00128155,"1234 Oak St, Los Angeles, CA 90001",PHY05204,cardiologist,Medicare,PID5132,bad
HSID00128156,"3210 Cedar St, Houston, TX 77006",PHY05205,endocrinologist,Medicare,PID5132,bad
HSID00128157,"7890 Cedar St, Anytown, USA",PHY05206,neurologist,Cigna,PID5122,bad
HSID00128158,"789 Maple St, New York, NY 10001, USA",PHY05207,neurologist,Bluecross,PID5142,bad
HSID00128159,"456 Oak St, Otherville USA",PHY05208,endocrinologist,Aetna,PID5112,bad
HSID00128160,"7890 Birch St, Atlanta, GA 30303",PHY05209,oncologist,Medicare,PID5132,bad
HSID00128161,"1234 Elm St, Los Angeles, CA 90001",PHY05210,uralogist,Cigna,PID5122,bad
HSID00128162,"5678 Elm St, Denver, CO 80202",PHY05211,cardiologist,Aetna,PID5112,bad
HSID00128163,"4567 Oak Ave, Los Angeles, CA 90012",PHY05212,neurologist,Cigna,PID5122,bad
HSID00128164,"9876 Elm St, Miami, FL",PHY05213,endocrinologist,Aetna,PID5112,bad
HSID00128165,"7890 Pine St, Seattle, WA 98101",PHY05214,neurologist,Bluecross,PID5142,bad
HSID00128166,"3210 Pine St, Anytown, USA",PHY05215,cardiologist,Cigna,PID5122,bad
HSID00128167,"456 Pine St, Los Angeles, CA 90001, USA",PHY05216,neurologist,Cigna,PID5122,bad
HSID00128168,"5678 Maple Ave, Chicago, IL",PHY05217,neurologist,Aetna,PID5112,bad
HSID00128169,"7654 Cedar Rd, Denver, CO 80206",PHY05218,uralogist,Cigna,PID5122,bad
HSID00128170,"4567 Maple Ave, Los Angeles CA 90001",PHY05219,oncologist,Medicare,PID5132,bad
HSID00128171,"7890 Maple St, New York, NY 10005",PHY05220,uralogist,BlueCross BlueShield,PID5142,bad
HSID00128172,"9876 Maple St, Chicago, IL 60601",PHY05221,endocrinologist,Aetna,PID5112,bad
HSID00128173,"567 Maple St, Newtown2, USA",PHY05222,cardiologist,UnitedHealthcare,PID5192,bad
HSID00128174,"321 Elm St, San Francisco CA 94109",PHY05223,cardiologist,Bluecross,PID5142,bad
HSID00128175,"456 Pine St, Los Angeles, CA 90001, USA",PHY05224,neurologist,Cigna,PID5122,bad
HSID00128176,"1234 Elm St, Los Angeles, CA 90001",PHY05225,neurologist,Aetna,PID5112,bad
HSID00128177,"1234 Maple St, Los Angeles, CA 90001",PHY05226,oncologist,Aetna,PID5112,bad
HSID00128178,"123 Main St, Anytown USA 12345",PHY05227,neurologist,Cigna,PID5122,bad
HSID00128179,"9012 Oak St, Anytown, USA",PHY05228,uralogist,Bluecross,PID5142,bad
HSID00128180,"1357 Main St, New York, NY",PHY05229,endocrinologist,BlueCross BlueShield,PID5142,bad
HSID00128181,"4567 Cedar Ln, Anytown, USA",PHY05230,cardiologist,Bluecross,PID5142,bad
HSID00128182,"3456 Pine St, Anytown, USA",PHY05231,cardiologist,Aetna,PID5112,bad
HSID00128183,"1234 Main St, Anytown, USA",PHY05232,uralogist,Cigna,PID5122,bad
HSID00128184,"6789 Elm St, Othertown, USA",PHY05233,oncologist,Aetna,PID5112,bad
HSID00128185,"1012 Pine St, Chicago, IL 60601",PHY05234,neurologist,Unitedhealthcare,PID5192,bad
HSID00128186,"1234 Elm St, Atlanta, GA 30303",PHY05235,endocrinologist,Aetna,PID5112,bad
HSID00128187,"789 Oak St, Anytown, USA",PHY05236,uralogist,Cigna,PID5122,bad
HSID00128188,"789 Oak St, Chicago, IL 60601",PHY05237,endocrinologist,Cigna,PID5122,bad
HSID00128189,"789 Pine St, Anytown USA 34567",PHY05238,uralogist,BlueCross BlueShield,PID5142,bad
HSID00128190,"246 Walnut St, Chicago, IL 60601",PHY05239,endocrinologist,Bluecross,PID5142,bad
HSID00128191,"7890 Birch St, Houston, TX 77001",PHY05240,neurologist,Cigna,PID5122,bad
HSID00128192,"456 Elm St, Othertown, USA",PHY05241,uralogist,Cigna,PID5122,bad
HSID00128193,"7890 Pine St, New York, NY 10001",PHY05242,uralogist,Aetna,PID5112,bad
HSID00128194,"1357 Main St, New York, NY",PHY05243,cardiologist,Medicare,PID5132,bad
HSID00128195,"1234 Oak Ave, San Diego CA 92109",PHY05244,endocrinologist,Bluecross,PID5142,bad
HSID00128196,"567 Maple St, Newtown2, USA",PHY05245,oncologist,Bluecross,PID5142,bad
HSID00128197,"3456 Oak St, Threetown, USA",PHY05246,uralogist,Cigna,PID5122,bad
HSID00128198,"5678 Elm St, Anytown, USA",PHY05247,uralogist,Aetna,PID5112,bad
HSID00128199,"9012 Pine St, Chicago, IL 60601",PHY05248,cardiologist,UnitedHealthcare,PID5192,bad
HSID00128200,"7890 Pine St, Seattle, WA 98101",PHY05249,cardiologist,Cigna,PID5122,bad
HSID00128201,"1234 Elm St, Anytown, USA",PHY05250,cardiologist,Medicare,PID5132,bad
HSID00128202,"1234 Elm St, Los Angeles, CA 90001",PHY05251,oncologist,Cigna,PID5122,bad
HSID00128203,"5678 Oak Ave, Miami, FL 33109",PHY05252,cardiologist,Medicare,PID5132,bad
HSID00128204,"9012 Oak St, Chicago, IL 60601",PHY05253,oncologist,Bluecross,PID5142,bad
HSID00128205,"456 Pine St, New York, NY 10012",PHY05254,oncologist,UnitedHealthcare,PID5192,bad
HSID00128206,"123 Main St, Anytown USA 12345",PHY05255,oncologist,Aetna,PID5112,bad
HSID00128207,"456 Maple St, Los Angeles CA 90001",PHY05256,oncologist,Bluecross,PID5142,bad
HSID00128208,"321 Elm St, San Francisco CA 94109",PHY05257,oncologist,Bluecross,PID5142,bad
HSID00128209,"4567 Maple St, Miami, FL 33101",PHY05258,neurologist,Medicare,PID5132,bad
HSID00128210,"7890 Maple St, Fourtown, USA",PHY05259,uralogist,Bluecross,PID5142,bad
HSID00128211,"6789 Elm St, Othertown, USA",PHY05260,endocrinologist,Bluecross,PID5142,bad
HSID00128212,"7890 Maple St, Fourtown, USA",PHY05261,cardiologist,Aetna,PID5112,bad
HSID00128213,"7654 Cedar Rd, Denver, CO 80206",PHY05262,oncologist,BlueCross BlueShield,PID5142,bad
HSID00128214,"5678 Maple Ave, Chicago, IL",PHY05263,cardiologist,BlueCross BlueShield,PID5142,bad
HSID00128215,"5678 Oak St, New York, NY 10001",PHY05264,cardiologist,Bluecross,PID5142,bad
HSID00128216,"456 Oak St, Otherville USA",PHY05265,cardiologist,Unitedhealthcare,PID5192,bad
HSID00128217,"9012 Oak St, Chicago, IL 60601",PHY05266,uralogist,Medicare,PID5132,bad
HSID00128218,"1234 Elm St, Anytown, USA",PHY05267,cardiologist,Cigna,PID5122,bad
HSID00128219,"3210 Cedar Rd, Miami, FL 33101",PHY05268,endocrinologist,Aetna,PID5112,bad
HSID00128220,"5678 Oak St, Los Angeles, CA 90001",PHY05269,cardiologist,Cigna,PID5122,bad
HSID00128221,"5678 Oak Ave, Miami, FL 33109",PHY05270,oncologist,Bluecross,PID5142,bad
HSID00128222,"5678 Oak Ave, Miami, FL 33109",PHY05271,uralogist,Medicare,PID5132,bad
HSID00128223,"5678 Oak St, New York, NY 10001",PHY05272,cardiologist,Unitedhealthcare,PID5192,bad
HSID00128224,"4567 Maple St, Miami, FL 33101",PHY05273,endocrinologist,Medicare,PID5132,bad
HSID00128225,"4567 Oak Ave, Los Angeles, CA 90012",PHY05274,oncologist,Bluecross,PID5142,bad
HSID00128226,"7890 Maple St, Fourtown, USA",PHY05275,endocrinologist,Bluecross,PID5142,bad
HSID00128227,"5678 Maple Ave, Chicago, IL",PHY05276,endocrinologist,Aetna,PID5112,bad
HSID00128228,"1357 Main St, New York, NY",PHY05277,oncologist,Unitedhealthcare,PID5192,bad
HSID00128229,"7890 Cedar St, Anytown, USA",PHY05278,endocrinologist,Aetna,PID5112,bad
HSID00128230,"5678 Oak St, Los Angeles, CA 90001",PHY05279,cardiologist,Bluecross,PID5142,bad
HSID00128231,"5678 Oak Ave, Miami, FL 33109",PHY05280,cardiologist,Bluecross,PID5142,bad
HSID00128232,"3210 Pine St, Boston, MA 02108",PHY05281,neurologist,Bluecross,PID5142,bad
HSID00128233,"5678 Oak St, Los Angeles, CA 90001",PHY05282,cardiologist,Medicare,PID5132,bad
HSID00128234,"321 Elm St, San Francisco CA 94109",PHY05283,cardiologist,Cigna,PID5122,bad
HSID00128235,"9012 Pine St, New York, NY 10001",PHY05284,endocrinologist,Cigna,PID5122,bad
HSID00128236,"5678 Maple Ave, Chicago, IL",PHY05285,neurologist,Aetna,PID5112,bad
HSID00128237,"3456 Elm St, Miami, FL 33101",PHY05286,oncologist,Medicare,PID5132,bad
HSID00128238,"3456 Oak St, Threetown, USA",PHY05287,neurologist,Cigna,PID5122,bad
HSID00128239,"5678 Elm St, Anytown, USA",PHY05288,uralogist,Cigna,PID5122,bad
HSID00128240,"1234 Elm St, Los Angeles, CA 90001",PHY05289,endocrinologist,Medicare,PID5132,bad
HSID00128241,"456 Pine St, New York, NY 10012",PHY05290,uralogist,Medicare,PID5132,bad
HSID00128242,"456 Maple St, Los Angeles CA 90001",PHY05291,endocrinologist,Bluecross,PID5142,bad
HSID00128243,"1234 Main St, Anytown, USA",PHY05292,oncologist,Cigna,PID5122,bad
HSID00128244,"5678 Pine St, Fivetown, USA",PHY05293,neurologist,UnitedHealthcare,PID5192,bad
HSID00128245,"5678 Oak St, Los Angeles, CA 90001",PHY05294,cardiologist,Aetna,PID5112,bad
HSID00128246,"1234 Oak Ave, San Diego CA 92109",PHY05295,neurologist,Aetna,PID5112,bad
HSID00128247,"1234 Elm St, Los Angeles, CA 90001",PHY05296,oncologist,Aetna,PID5112,bad
HSID00128248,"9876 Maple St, Chicago, IL 60601",PHY05297,cardiologist,Cigna,PID5122,bad
HSID00128249,"1012 Pine St, Chicago, IL 60601",PHY05298,uralogist,Cigna,PID5122,bad
HSID00128250,"789 Pine St, Anytown USA 34567",PHY05299,uralogist,Medicare,PID5132,bad
HSID00128251,"1234 Maple St, Anytown, USA",PHY05300,uralogist,Bluecross,PID5142,bad
HSID00128252,"123 Main St, Anytown, USA",PHY05301,cardiologist,Cigna,PID5122,bad
HSID00128253,"1234 Maple St, Anytown, USA",PHY05302,endocrinologist,Aetna,PID5112,bad
HSID00128254,"246 Walnut St, Chicago, IL 60601",PHY05303,oncologist,Medicare,PID5132,bad
HSID00128255,"7890 Birch St, Atlanta, GA 30303",PHY05304,endocrinologist,BlueCross BlueShield,PID5142,bad
HSID00128256,"123 Main St, New York, NY 10001",PHY05305,cardiologist,Aetna,PID5112,bad
HSID00128257,"5678 Elm St, Denver, CO 80202",PHY05306,oncologist,Bluecross,PID5142,bad
HSID00128258,"5678 Pine St, Fivetown, USA",PHY05307,neurologist,Bluecross,PID5142,bad
HSID00128259,"9012 Oak Rd, Anytown, USA",PHY05308,uralogist,Unitedhealthcare,PID5192,bad
HSID00128260,"4567 Oak Ave, Los Angeles, CA 90012",PHY05309,neurologist,UnitedHealthcare,PID5192,bad
HSID00128261,"3456 Oak St, Threetown, USA",PHY05310,endocrinologist,Aetna,PID5112,bad
HSID00128262,"5678 Elm St, Anytown, USA",PHY05311,uralogist,Medicare,PID5132,bad
HSID00128263,"7890 Pine St, New York, NY 10001",PHY05312,endocrinologist,Cigna,PID5122,bad
HSID00128264,"9012 Oak Rd, Anytown, USA",PHY05313,uralogist,Medicare,PID5132,bad
HSID00128265,"7890 Maple St, Fourtown, USA",PHY05314,cardiologist,Bluecross,PID5142,bad
HSID00128266,"789 Oak St, Newtown, USA",PHY05315,oncologist,BlueCross BlueShield,PID5142,bad
HSID00128267,"456 Pine St, Los Angeles, CA 90001, USA",PHY05316,cardiologist,Cigna,PID5122,bad
HSID00128268,"456 Pine St, Los Angeles, CA 90001, USA",PHY05317,oncologist,Medicare,PID5132,bad
HSID00128269,"5678 Pine St, Fivetown, USA",PHY05318,oncologist,Aetna,PID5112,bad
HSID00128270,"101 Maple St, Anytown, USA",PHY05319,cardiologist,Cigna,PID5122,bad
